Time,Signal,Price
2025-07-19T15:15:00.000Z,LONG,118116.8
2025-07-19T16:25:00.000Z,LONG,118096.1
2025-07-19T19:00:00.000Z,LONG,117850
2025-07-19T19:30:00.000Z,LONG,117882.1
2025-07-20T06:40:00.000Z,LONG,117820.5
2025-07-20T11:40:00.000Z,LONG,117892.8
2025-07-20T12:05:00.000Z,LONG,117937.1
2025-07-20T12:45:00.000Z,LONG,117877.6
2025-07-20T18:30:00.000Z,LONG,118164.1
2025-07-20T20:45:00.000Z,LONG,118240.8
2025-07-21T03:45:00.000Z,SHORT,118325
2025-07-21T15:00:00.000Z,SHORT,118889.9
2025-07-21T23:00:00.000Z,SHORT,117163.8
2025-07-21T23:55:00.000Z,SHORT,117330.2
2025-07-22T14:40:00.000Z,LONG,118731.4
2025-07-22T17:35:00.000Z,LONG,119171.9
2025-07-23T12:30:00.000Z,SHORT,118490.9
2025-07-23T16:15:00.000Z,SHORT,117778.7
2025-07-23T19:30:00.000Z,SHORT,118230.8
2025-07-25T11:40:00.000Z,SHORT,116500
2025-07-25T12:45:00.000Z,SHORT,116433.8
2025-07-27T02:45:00.000Z,SHORT,118140.1
2025-07-27T03:05:00.000Z,SHORT,118067.1
2025-07-27T04:35:00.000Z,SHORT,118206.4
2025-07-27T05:25:00.000Z,SHORT,118243.6
2025-07-27T06:50:00.000Z,SHORT,118255.8
2025-07-27T11:25:00.000Z,SHORT,118168
2025-07-28T07:00:00.000Z,SHORT,119243.6
2025-07-28T13:00:00.000Z,SHORT,118737
2025-07-28T22:05:00.000Z,SHORT,118114.2
2025-07-29T00:30:00.000Z,SHORT,117782.2
2025-07-29T23:40:00.000Z,SHORT,117717
2025-07-31T17:00:00.000Z,SHORT,118217.4
2025-08-01T03:40:00.000Z,SHORT,115784
2025-08-01T10:25:00.000Z,SHORT,114947.3
2025-08-01T13:20:00.000Z,SHORT,115690.5
2025-08-01T22:05:00.000Z,SHORT,113488.8
2025-08-02T01:25:00.000Z,SHORT,113521.8
2025-08-02T17:45:00.000Z,SHORT,112994.2
2025-08-04T08:25:00.000Z,SHORT,114410.5
2025-08-04T09:30:00.000Z,SHORT,114553.5
2025-08-04T14:50:00.000Z,SHORT,114700.1
2025-08-05T11:00:00.000Z,SHORT,114766.9
2025-08-05T18:35:00.000Z,SHORT,113426.1
2025-08-05T19:25:00.000Z,SHORT,113550.4
2025-08-05T20:40:00.000Z,SHORT,113611
2025-08-05T21:35:00.000Z,SHORT,113706.7
2025-08-07T07:45:00.000Z,SHORT,114713
